time,qpos,qpos,qvel,qvel,ctrl,snsr,snsr,snsr,est_p,est_p,est_v,est_v,est_c,est_s,est_s,est_s,stddev_p,stddev_p,stddev_v,stddev_v,stddev_c,stddev_s,stddev_s,stddev_s,
0.1175,-0.0678344,0,-1.13252,0,0,0,0,-0.0678344,-0.0664188,-4.25049e-16,-1.13309,1.7059e-13,0,1.47813e-15,0,-0.066434,1,1,93.6801,93.5766,0,1.00014,1e-07,1.00012,
0.11875,-0.0692646,0,-1.14414,0,0,0,0,-0.0692646,-0.0678344,-1.56411e-15,-1.14471,1.99944e-13,0,-2.11811e-16,0,-0.0678497,1,1,94.6686,94.5629,0,1.00015,1e-07,1.00012,
0.12,-0.0707093,0,-1.15574,0,0,0,0,-0.0707093,-0.0692646,-4.53849e-15,-1.15633,2.55692e-13,0,-1.31418e-15,0,-0.0692798,1,1,95.6569,95.5489,0,1.00015,1e-07,1.00012,
0.12125,-0.0721684,0,-1.16732,0,0,0,0,-0.0721684,-0.0707093,5.11069e-15,-1.16792,2.2756e-13,0,-4.21888e-15,0,-0.0707245,1,1,96.6448,96.5347,0,1.00015,1e-07,1.00013,
0.1225,-0.073642,0,-1.1789,0,0,0,0,-0.073642,-0.0721684,-5.1796e-16,-1.17951,2.26829e-13,0,5.39514e-15,0,-0.0721837,1,1,97.6326,97.5201,0,1.00015,1e-07,1.00013,
0.12375,-0.0751301,0,-1.19046,0,0,0,0,-0.0751301,-0.073642,-6.7545e-16,-1.19108,1.98788e-13,0,-2.34424e-16,0,-0.0736573,1,1,98.62,98.5053,0,1.00015,1e-07,1.00013,
0.125,-0.0766326,0,-1.202,0,0,0,0,-0.0766326,-0.0751301,-2.09016e-16,-1.20264,1.98981e-13,0,-4.26964e-16,0,-0.0751453,1,1,99.6072,99.4901,0,1.00015,1e-07,1.00013,
0.12625,-0.0781495,0,-1.21353,0,0,0,0,-0.0781495,-0.0766326,-3.21245e-16,-1.21418,1.7029e-13,0,3.97097e-17,0,-0.0766478,1,1,100.594,100.475,0,1.00016,1e-07,1.00013,
0.1275,-0.0796808,0,-1.22505,0,0,0,0,-0.0796808,-0.0781495,5.46526e-16,-1.22571,1.13755e-13,0,-1.08382e-16,0,-0.0781648,1,1,101.581,101.459,0,1.00016,1e-07,1.00013,
0.12875,-0.0812265,0,-1.23655,0,0,0,0,-0.0812265,-0.0796808,-1.78149e-15,-1.23723,8.52363e-14,0,6.88721e-16,0,-0.0796961,1,1,102.567,102.443,0,1.00016,1e-07,1.00014,
0.13,-0.0827866,0,-1.24804,0,0,0,0,-0.0827866,-0.0812265,-7.66039e-16,-1.24873,1.12949e-13,0,-1.67495e-15,0,-0.0812418,1,1,103.553,103.426,0,1.00016,1e-07,1.00014,
0.13125,-0.084361,0,-1.25951,0,0,0,0,-0.084361,-0.0827866,-1.18366e-15,-1.26021,1.1405e-13,0,-6.24852e-16,0,-0.0828018,1,1,104.539,104.41,0,1.00016,1e-07,1.00014,
0.1325,-0.0859497,0,-1.27097,0,0,0,0,-0.0859497,-0.084361,9.54771e-16,-1.27168,1.13102e-13,0,-1.04109e-15,0,-0.0843762,1,1,105.524,105.393,0,1.00016,1e-07,1.00014,
0.13375,-0.0875527,0,-1.28241,0,0,0,0,-0.0875527,-0.0859497,-5.22352e-16,-1.28314,1.13406e-13,0,1.09615e-15,0,-0.0859649,1,1,106.509,106.375,0,1.00016,1e-07,1.00014,
0.135,-0.08917,0,-1.29383,0,0,0,0,-0.08917,-0.0875527,-1.28167e-15,-1.29458,1.14631e-13,0,-3.80594e-16,0,-0.0875679,1,1,107.494,107.358,0,1.00017,1e-07,1.00014,
0.13625,-0.0908015,0,-1.30525,0,0,0,0,-0.0908015,-0.08917,-4.11381e-15,-1.306,1.70157e-13,0,-1.13839e-15,0,-0.0891852,1,1,108.479,108.34,0,1.00017,1e-07,1.00014,
0.1375,-0.0924473,0,-1.31664,0,0,0,0,-0.0924473,-0.0908015,2.99205e-16,-1.31741,2.29023e-13,0,-3.90111e-15,0,-0.0908167,1,1,109.463,109.321,0,1.00017,1e-07,1.00015,
0.13875,-0.0941074,0,-1.32802,0,0,0,0,-0.0941074,-0.0924473,-1.48011e-15,-1.3288,1.70624e-13,0,5.85483e-16,0,-0.0924625,1,1,110.447,110.303,0,1.00017,1e-07,1.00015,
0.14,-0.0957816,0,-1.33938,0,0,0,0,-0.0957816,-0.0941074,-8.16831e-16,-1.34018,1.14998e-13,0,-1.26683e-15,0,-0.0941226,1,1,111.43,111.284,0,1.00017,1e-07,1.00015,
0.14125,-0.09747,0,-1.35073,0,0,0,0,-0.09747,-0.0957816,-3.44804e-16,-1.35154,5.66719e-14,0,-6.73084e-16,0,-0.0957968,1,1,112.413,112.264,0,1.00017,1e-07,1.00015,
0.1425,-0.0991726,0,-1.36206,0,0,0,0,-0.0991726,-0.09747,2.2024e-15,-1.36289,5.97759e-17,0,-2.73964e-16,0,-0.0974852,1,1,113.396,113.245,0,1.00018,1e-07,1.00015,
